Popularity,Vote_Count,Vote_Average,year,month,day_of_week,Original_Language_de,Original_Language_en,Original_Language_es,Original_Language_fr,Original_Language_it,Original_Language_ja,Original_Language_ko,Original_Language_other,Original_Language_ru,Original_Language_zh,other_genre,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War
380.88,544,6.4,2021,10,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
379.856,175,6.4,2021,11,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365.85,1563,7.2,2021,9,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
360.164,3616,7.5,2021,9,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
352.368,93,5.8,2021,11,4,False,False,False,False,False,False,False,True,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
348.942,2075,8.1,2021,11,3,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
342.661,207,5.4,2021,7,4,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
339.374,855,7.5,2021,8,0,False,True,False,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
338.402,24079,8.3,2018,4,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
338.272,6109,7.2,1989,6,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
337.651,7127,7.5,2021,7,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
333.354,3,5.7,2022,2,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
331.944,5092,7.3,2021,5,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
328.678,186,5.9,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
325.624,5,2.2,2022,2,4,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
324.706,189,6.5,2021,12,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
317.643,16,5.3,2022,2,1,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
317.159,0,0.0,2022,3,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
317.102,12,5.7,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
314.388,325,6.9,2020,8,1,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
312.916,1848,7.6,2021,10,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
311.94,38,6.6,2022,1,2,False,False,False,False,False,False,True,False,False,False,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
310.011,300,6.5,2021,10,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
308.214,1276,6.8,2021,11,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
308.037,80,6.7,2021,2,3,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
307.936,4034,7.6,2021,7,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
307.521,7681,7.8,2021,3,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
306.376,14564,6.7,2012,6,5,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
302.272,16,5.6,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
297.357,25011,7.5,2009,12,3,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
292.604,77,7.8,2021,6,4,False,False,False,False,False,True,False,False,False,False,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
290.54,1167,6.9,2021,10,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
290.481,15,5.2,2022,2,2,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
290.206,119,5.9,2022,3,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
